  date, station, SHOWALTER, lifted index, LIFT, SWEAT, K index, TT, CAPE, CINS, RICH, TEMPK, PWATER 
  12:00 01 Jan 2015, 72440,  17.63,  29.09,  29.28,  106.99,  -5.50,  26.80q,  0.00,  0.00,  0.00,  261.85,  12.71
  00:00 02 Jan 2015,  72440,  12.81,  23.35,  23.58,  96.99,  16.70,  33.60,  0.00,  0.00,  0.00,  269.09,  21.55
  12:00 02 Jan 2015,  72440,  12.57,  23.25,  23.22,  137.32,  8.70,  33.00,  0.00,  0.00,  0.00,  271.76,  14.34
  00:00 03 Jan 2015,  72440,  7.69,  20.02,  20.29,  198.51,  24.40,  39.40,  0.00,  0.00,  927.14,  942.02,  0.00,  274.47,  25.03
  12:00 03 Jan 2015,  72440,  7.16,  18.62,  18.94,  252.44,  25.50,  38.90,  0.00,  0.00,  0.00,  276.26,  28.45
  00:00 04 Jan 2015,  72440,  12.67,  13.17,  13.10,  135.00,  -0.10,  33.80,  0.00,  0.00,  0.00,  276.92,  12.97
  12:00 04 Jan 2015,  72440,  15.00,  21.46,  21.52,  114.98,  2.60,  33.90,  0.00,  0.00,  0.00,  265.75,  8.71
  00:00 05 Jan 2015,  72440,  28.56,  33.12,  33.18,  140.00,  -31.30,  1.00,  0.00,  0.00,  0.00,  252.83,  4.28
  12:00 05 Jan 2015,  72440,  22.09,  37.69,  37.72,  119.00,  -10.10,  15.00,  0.00,  0.00,  0.00,  249.32,  6.18
  00:00 06 Jan 2015,  72440,  22.44,  31.27,  31.36,  302.37,  -16.50,  10.20,  0.00,  0.00,  0.00,  258.40,  8.12
  12:00 06 Jan 2015,  72440,  19.99,  29.92,  30.05,  163.99,  -8.10,  16.80,  0.00,  0.00,  0.00,  266.79,  12.15
  00:00 07 Jan 2015,  72440,  18.44,  31.23,  31.44,  119.00,  -1.30,  20.60,  0.00,  0.00,  0.00,  260.86,  12.47
  12:00 07 Jan 2015,  72440,  29.08,  33.77,  33.97,  142.99,  -12.20,  5.60,  0.00,  0.00,  0.00,  259.85,  12.64
  00:00 08 Jan 2015,  72440,  31.40,  37.00,  36.99,  143.98,  -72.10,  -8.60,  0.00,  0.00,  0.00,  247.70,  1.14
  12:00 08 Jan 2015,  72440,  26.84,  40.85,  41.04,  226.40,  -83.90,  -19.00,  0.00,  0.00,  0.00,  245.72,  2.29
  00:00 09 Jan 2015,  72440,  24.53,  29.57,  29.57,  131.99,  -11.50,  13.80,  0.00,  0.00,  0.00,  252.53,  8.81
  12:00 09 Jan 2015,  72440,  29.59,  32.80,  32.93,  169.02,  -39.10,  -11.00,  0.00,  0.00,  0.00,  257.28,  5.48
  00:00 10 Jan 2015,  72440,  21.76,  27.63,  27.62,  102.02,  -39.90,  8.60,  0.00,  0.00,  0.00,  252.15,  1.75
