<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<LINK REL="StyleSheet" HREF="/resources/select.css" TYPE="text/css">
<BODY BGCOLOR="white">
<H2>72440 SGF Springfield Observations at 12Z 01 Jan 2015</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    229                                                               
  980.0    387   -6.9   -9.9     79   1.85    240      5  267.8  272.9  268.1
  977.0    411   -6.9  -11.1     72   1.68    242      6  268.0  272.8  268.3
  952.4    610   -8.1  -12.3     72   1.57    260     18  268.8  273.2  269.1
  952.0    613   -8.1  -12.3     72   1.57    260     18  268.8  273.2  269.1
  940.0    713   -6.1   -9.9     74   1.93    260     21  271.8  277.3  272.1
  925.0    839   -5.1   -8.2     79   2.24    260     24  274.1  280.4  274.5
  922.0    865   -4.9   -7.9     79   2.30    260     24  274.6  281.1  274.9
  916.2    914   -4.1   -8.2     73   2.25    260     24  275.9  282.3  276.2
  912.0    950   -3.5   -8.5     68   2.22    260     24  276.8  283.2  277.2
  881.5   1219   -4.2   -6.8     82   2.61    260     27  278.8  286.3  279.2
  879.0   1241   -4.3   -6.7     83   2.64    260     27  278.9  286.5  279.4
  861.0   1405   -3.9   -7.6     75   2.52    260     30  281.0  288.3  281.4
  850.0   1506   -4.1   -5.7     89   2.95    260     32  281.8  290.4  282.3
  843.0   1571   -4.3   -5.0     95   3.14    260     34  282.3  291.4  282.8
  834.0   1656   -1.7   -3.2     89   3.64    260     37  285.9  296.5  286.5
  816.1   1829   -0.9   -3.1     85   3.74    260     43  288.5  299.5  289.2
  808.0   1909   -0.5   -3.1     83   3.78    267     41  289.8  300.9  290.4
  797.0   2019    0.8   -3.3     74   3.78    276     38  292.3  303.6  293.0
  786.0   2131    1.4   -2.9     73   3.95    285     35  294.1  305.9  294.8
  785.7   2134    1.4   -3.0     72   3.92    285     35  294.2  305.9  294.9
  773.0   2265    2.2   -7.8     48   2.76    281     36  296.4  304.9  296.9
  761.0   2392    2.8   -9.2     41   2.51    277     38  298.4  306.2  298.8
  756.7   2438    4.2  -11.3     31   2.13    275     38  300.4  307.2  300.8
  755.0   2456    4.8  -12.2     28   2.00    274     38  301.2  307.6  301.6
  752.0   2489    5.0  -13.0     26   1.88    273     38  301.8  307.8  302.1
  734.0   2686    3.6  -15.4     23   1.58    267     40  302.3  307.5  302.6
  728.8   2743    3.1  -15.1     25   1.63    265     40  302.4  307.7  302.7
  701.7   3048    0.6  -13.7     33   1.90    260     42  302.9  309.0  303.2
  700.0   3068    0.4  -13.6     34   1.92    260     42  302.9  309.1  303.2
  676.0   3347   -2.3  -14.3     39   1.88    262     45  302.9  309.0  303.3
  671.0   3406   -2.1  -15.1     36   1.77    263     45  303.8  309.6  304.1
  665.0   3477   -1.7  -11.7     46   2.36    263     46  305.0  312.6  305.4
  650.0   3658   -2.7  -12.0     49   2.36    265     48  305.9  313.5  306.3
  644.0   3732   -3.1  -12.1     50   2.36    264     48  306.2  313.9  306.7
  600.8   4267   -7.3  -14.7     56   2.05    260     46  307.5  314.2  307.9
  555.1   4877  -12.2  -17.6     64   1.73    265     45  308.8  314.6  309.1
  507.0   5576  -17.7  -21.0     75   1.42    265     43  310.2  315.0  310.4
  500.0   5680  -18.3  -21.9     73   1.33    265     43  310.7  315.2  310.9
  492.6   5791  -19.0  -22.8     72   1.25    265     44  311.2  315.4  311.4
  487.0   5875  -19.5  -23.5     71   1.19    264     45  311.5  315.6  311.8
  472.7   6096  -20.9  -23.9     76   1.18    260     49  312.5  316.6  312.8
  470.0   6138  -21.1  -24.0     77   1.18    260     50  312.7  316.8  313.0
  452.0   6424  -22.5  -26.5     70   0.98    261     56  314.5  317.9  314.7
  423.0   6907  -24.7  -28.0     74   0.91    263     67  317.7  320.9  317.9
  400.0   7310  -27.1  -30.8     71   0.74    265     76  319.7  322.4  319.8
  383.1   7620  -28.8  -32.3     72   0.67    265     83  321.4  323.8  321.5
  373.0   7812  -29.9  -33.2     73   0.63    262     87  322.4  324.8  322.5
  367.1   7925  -30.8  -34.3     71   0.57    260     90  322.7  324.9  322.8
  351.0   8244  -33.3  -37.4     67   0.44    260     92  323.5  325.2  323.6
  326.0   8760  -37.7  -40.1     78   0.36    260     95  324.3  325.7  324.4
  316.0   8975  -39.3  -40.9     85   0.34    260     96  325.0  326.3  325.1
  313.0   9040  -39.5  -42.5     73   0.29    260     96  325.6  326.8  325.7
  308.3   9144  -40.2  -44.0     67   0.25    260     97  326.0  327.0  326.0
  308.0   9150  -40.3  -44.1     67   0.25    260     97  326.0  327.0  326.0
  305.0   9217  -40.7  -43.5     74   0.27    260     97  326.3  327.4  326.4
  300.0   9330  -41.7  -44.8     72   0.24    260     98  326.5  327.4  326.5
  296.0   9421  -42.5  -45.2     75   0.23    260     98  326.6  327.5  326.6
  288.0   9606  -43.9  -48.4     61   0.17    260    100  327.2  327.8  327.2
  282.0   9747  -45.3  -49.2     65   0.15    260    100  327.1  327.8  327.2
  278.0   9842  -46.1  -50.9     58   0.13    260    101  327.3  327.9  327.3
  269.0  10058  -47.8  -52.4     59   0.11    260    102  328.0  328.4  328.0
  250.0  10540  -51.5  -55.8     60   0.08    265    115  329.4  329.7  329.4
  222.0  11299  -57.9  -62.1     58   0.04    262    127  330.9  331.1  330.9
  200.0  11950  -61.7  -66.3     54   0.03    260    138  334.9  335.0  334.9
  182.9  12497  -65.7  -69.9     56   0.02    255    146  337.1  337.2  337.1
  182.0  12527  -65.9  -70.1     56   0.02    255    146  337.2  337.3  337.2
  181.0  12561  -66.0  -70.2     56   0.02    255    146  337.6  337.6  337.6
  166.0  13082  -67.9  -71.1     63   0.02    260    119  342.9  342.9  342.9
  164.0  13155  -67.7  -71.3     60   0.02    261    116  344.4  344.4  344.4
  163.0  13192  -66.3  -70.7     54   0.02    261    115  347.3  347.4  347.3
  157.0  13420  -63.5  -73.5     25   0.01    263    105  355.8  355.9  355.8
  152.0  13619  -63.3  -78.3     11   0.01    264     97  359.5  359.5  359.5
  150.0  13700  -63.9  -79.9     10   0.00    265     94  359.8  359.8  359.8
  149.6  13716  -64.0  -80.2      9   0.00    265     93  360.0  360.0  360.0
  147.0  13824  -64.3  -82.3      7   0.00    265     92  361.2  361.2  361.2
  142.0  14036  -63.9  -83.9      5   0.00    264     91  365.5  365.5  365.5
  140.0  14123  -62.9  -82.9      5   0.00    264     90  368.7  368.7  368.7
  125.0  14814  -66.9  -87.9      4   0.00    261     85  373.6  373.6  373.6
  119.0  15112  -66.3  -87.3      4   0.00    260     83  380.0  380.0  380.0
  116.5  15240  -66.8  -87.8      4   0.00    260     82  381.4  381.4  381.4
  110.8  15545  -67.9  -88.9      4   0.00    260     76  384.8  384.8  384.8
  109.0  15642  -68.3  -89.3      4   0.00    261     78  385.9  385.9  385.9
  106.0  15809  -67.5  -88.5      4   0.00    262     80  390.5  390.5  390.5
  100.0  16160  -68.1  -89.1      4   0.00    265     86  395.9  395.9  395.9
   92.6  16621  -68.9  -88.9      4   0.00    267     79  403.1  403.1  403.1
   91.5  16692  -66.5  -87.5      4   0.00    268     78  409.2  409.2  409.2
   87.4  16970  -66.7  -87.7      4   0.00    269     74  414.2  414.2  414.2
   85.1  17132  -64.3  -86.3      3   0.00    270     71  422.2  422.3  422.2
   70.3  18288  -69.8  -90.8      3   0.00    275     54  434.3  434.3  434.3
   70.0  18310  -69.9  -90.9      3   0.00    275     53  434.5  434.5  434.5
   66.7  18593  -70.9  -91.9      3   0.00    275     48  438.4  438.4  438.4
   66.6  18605  -70.9  -91.9      3   0.00    275     48  438.6  438.6  438.6
   60.2  19202  -69.4  -90.4      3   0.00    270     57  454.7  454.7  454.7
   58.3  19397  -68.9  -89.9      3   0.00    273     59  460.1  460.1  460.1
   54.9  19756  -69.5  -90.5      3   0.00    279     61  466.7  466.7  466.7
   53.6  19899  -68.3  -90.3      3   0.00    281     62  472.6  472.7  472.6
   52.4  20036  -65.3  -88.3      3   0.00    284     63  482.7  482.7  482.7
   51.7  20117  -65.7  -88.7      3   0.00    285     64  483.5  483.6  483.5
   51.1  20188  -66.1  -89.1      3   0.00    287     63  484.3  484.3  484.3
   50.0  20320  -66.1  -90.1      2   0.00    290     61  487.3  487.3  487.3
   46.8  20726  -65.4  -90.3      2   0.00    295     57  498.3  498.3  498.3
