fecha,estacion,cape,cins
 01 Jan 2015, 72440, 0.00, 0.00
 02 Jan 2015, 72440, 0.00, 0.00
 03 Jan 2015, 72440, 0.00, 0.00
 04 Jan 2015, 72440, 0.00, 0.00
 05 Jan 2015, 72440, 0.00, 0.00
 06 Jan 2015, 72440, 0.00, 0.00
 07 Jan 2015, 72440, 0.00, 0.00
 08 Jan 2015, 72440, 0.00, 0.00
 09 Jan 2015, 72440, 0.00, 0.00
 10 Jan 2015, 72440, 0.00, 0.00
 11 Jan 2015, 72440, 0.00, 0.00
 12 Jan 2015, 72440, 0.00, 0.00
 13 Jan 2015, 72440, 0.00, 0.00
 14 Jan 2015, 72440, 0.00, 0.00
 15 Jan 2015, 72440, 0.00, 0.00
 16 Jan 2015, 72440, 0.00, 0.00
 17 Jan 2015, 72440, 0.00, 0.00
 18 Jan 2015, 72440, 0.00, 0.00
 19 Jan 2015, 72440, 0.00, 0.00
 20 Jan 2015, 72440, 0.00, 0.00
 21 Jan 2015, 72440, 0.00, 0.00
 22 Jan 2015, 72440, 0.00, 0.00
 23 Jan 2015, 72440, 0.00, 0.00
 24 Jan 2015, 72440, 0.00, 0.00
 25 Jan 2015, 72440, 0.00, 0.00
 26 Jan 2015, 72440, 0.00, -1.98
 27 Jan 2015, 72440, 0.00, 0.00
 28 Jan 2015, 72440, 0.00, 0.00
 29 Jan 2015, 72440, 0.00, 0.00
 30 Jan 2015, 72440, 0.00, 0.00
 31 Jan 2015, 72440, 0.00, 0.00
 02 Feb 2015, 72440, 0.00, 0.00
 03 Feb 2015, 72440, 0.00, 0.00
 04 Feb 2015, 72440, 0.00, 0.00
 05 Feb 2015, 72440, 0.00, 0.00
 06 Feb 2015, 72440, 0.00, 0.00
 07 Feb 2015, 72440, 0.00, 0.00
 08 Feb 2015, 72440, 0.00, 0.00
 09 Feb 2015, 72440, 0.00, 0.00
 10 Feb 2015, 72440, 0.00, 0.00
 11 Feb 2015, 72440, 0.00, 0.00
 12 Feb 2015, 72440, 0.00, 0.00
 13 Feb 2015, 72440, 0.00, 0.00
 14 Feb 2015, 72440, 0.00, 0.00
 15 Feb 2015, 72440, 0.00, 0.00
 16 Feb 2015, 72440, 0.00, 0.00
 17 Feb 2015, 72440, 0.00, 0.00
 18 Feb 2015, 72440, 0.00, 0.00
 20 Feb 2015, 72440, 0.00, 0.00
 21 Feb 2015, 72440, 0.00, 0.00
 22 Feb 2015, 72440, 0.00, 0.00
 23 Feb 2015, 72440, 0.00, 0.00
 24 Feb 2015, 72440, 0.00, 0.00
 25 Feb 2015, 72440, 0.00, 0.00
 26 Feb 2015, 72440, 0.00, 0.00
 27 Feb 2015, 72440, 0.00, 0.00
 28 Feb 2015, 72440, 0.00, 0.00
 01 Mar 2015, 72440, 0.00, 0.00
 02 Mar 2015, 72440, 0.00, 0.00
 03 Mar 2015, 72440, 0.00, 0.00
 04 Mar 2015, 72440, 0.00, 0.00
 05 Mar 2015, 72440, 0.00, 0.00
 06 Mar 2015, 72440, 0.00, 0.00
 07 Mar 2015, 72440, 0.00, 0.00
 08 Mar 2015, 72440, 0.00, 0.00
 09 Mar 2015, 72440, 0.00, 0.00
 10 Mar 2015, 72440, 0.00, 0.00
 11 Mar 2015, 72440, 0.00, 0.00
 12 Mar 2015, 72440, 0.00, 0.00
 13 Mar 2015, 72440, 0.00, 0.00
 14 Mar 2015, 72440, 0.00, 0.00
 15 Mar 2015, 72440, 0.00, 0.00
 16 Mar 2015, 72440, 0.00, 0.00
 17 Mar 2015, 72440, 0.00, 0.00
 18 Mar 2015, 72440, 0.00, 0.00
 19 Mar 2015, 72440, 0.00, 0.00
 20 Mar 2015, 72440, 0.00, 0.00
 21 Mar 2015, 72440, 0.00, 0.00
 22 Mar 2015, 72440, 0.00, 0.00
 23 Mar 2015, 72440, 0.00, 0.00
